Model,Best Parameters,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9633892824145365,0.9733695652173913,0.9423835832675612,0.9576259858307713,0.9941345171679178
Decision Tree,"{'model__max_depth': 15, 'model__min_samples_split': 5}",0.9557668617185094,0.9611440906637885,0.9371218100499868,0.9489809511122952,0.977958117986999
KNN,"{'model__n_neighbors': 7, 'model__weights': 'distance'}",0.9305897751770865,0.9484304932735426,0.8902920284135754,0.9184421224046682,0.9758567846403787
Logistic Regression,{'model__C': 1.0},0.8718432399137666,0.8693504117108874,0.8332894852231869,0.8509380737025926,0.9255960907308116
